complexity,forecasting_method_name,root_10,to_predict_10,forecasted_10,sort_simi_percen_10,gral_simi_percen_10,forecasting_method_name,root_25,to_predict_25,forecasted_25,sort_simi_percen_25,gral_simi_percen_25,forecasting_method_name,root_50,to_predict_50,forecasted_50,sort_simi_percen_50,gral_simi_percen_50,forecasting_method_name,root_75,to_predict_75,forecasted_75,sort_simi_percen_75,gral_simi_percen_75,seq
2,lag-llama,"[1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489]",[10000000000],[553956],0,0,lag-llama,"[1, 4, 27, 256, 3125, 46656, 823543, 16777216]","[387420489, 10000000000]","[129588, 298486]",0,0,lag-llama,"[1, 4, 27, 256, 3125]","[46656, 823543, 16777216, 387420489, 10000000000]","[390, 335, 288, 244, 126]",0,0,lag-llama,"[1, 4, 27]","[256, 3125, 46656, 823543, 16777216, 387420489, 10000000000]","[5, 4, 8, -2, 1, 4, 3]",0,0,"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000"
2,lag-llama,"[1, 2, 6, 20, 70, 252, 924, 3432, 12870]",[48620],[2197],0,0,lag-llama,"[1, 2, 6, 20, 70, 252, 924, 3432]","[12870, 48620]","[1228, 962]",0,0,lag-llama,"[1, 2, 6, 20, 70]","[252, 924, 3432, 12870, 48620]","[19, 22, 29, 20, 26]",0,0,lag-llama,"[1, 2, 6]","[20, 70, 252, 924, 3432, 12870, 48620]","[3, 1, 2, 1, 2, 1, 4]",0,0,"1, 2, 6, 20, 70, 252, 924, 3432, 12870, 48620"
2,lag-llama,"[2, 3, 5, 7, 11, 13, 17, 19, 23]",[29],[19],0,0,lag-llama,"[2, 3, 5, 7, 11, 13, 17, 19]","[23, 29]","[17, 17]",0,0,lag-llama,"[2, 3, 5, 7, 11]","[13, 17, 19, 23, 29]","[8, 8, 7, 7, 7]",0,0,lag-llama,"[2, 3, 5]","[7, 11, 13, 17, 19, 23, 29]","[2, 2, 2, 2, 2, 2, 1]",0,0,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29"
2,lag-llama,"[4, 6, 9, 10, 14, 15, 21, 22, 25]",[26],[19],0,0,lag-llama,"[4, 6, 9, 10, 14, 15, 21, 22]","[25, 26]","[21, 20]",0,0,lag-llama,"[4, 6, 9, 10, 14]","[15, 21, 22, 25, 26]","[8, 7, 10, 9, 9]",0,0,lag-llama,"[4, 6, 9]","[10, 14, 15, 21, 22, 25, 26]","[4, 5, 4, 4, 1, 4, 3]",0,0,"4, 6, 9, 10, 14, 15, 21, 22, 25, 26"
2,lag-llama,"[1, 10, 11, 100, 101, 110, 111, 1000, 1001]",[1010],[1371],0,0,lag-llama,"[1, 10, 11, 100, 101, 110, 111, 1000]","[1001, 1010]","[101, 111]",0,0,lag-llama,"[1, 10, 11, 100, 101]","[110, 111, 1000, 1001, 1010]","[126, 74, 80, 114, 124]",0,0,lag-llama,"[1, 10, 11]","[100, 101, 110, 111, 1000, 1001, 1010]","[10, 12, 4, 10, 12, 8, 5]",0,0,"1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010"
2,lag-llama,"[0, 1, 81, 512, 2401, 4913, 5832, 17576, 19683]",[234256],[14834],0,0,lag-llama,"[0, 1, 81, 512, 2401, 4913, 5832, 17576]","[19683, 234256]","[6031, 5087]",0,0,lag-llama,"[0, 1, 81, 512, 2401]","[4913, 5832, 17576, 19683, 234256]","[720, 933, 608, 520, 512]",0,0,lag-llama,"[0, 1, 81]","[512, 2401, 4913, 5832, 17576, 19683, 234256]","[1, 1, 1, 1, 1, 1, 1]",0,0,"0, 1, 81, 512, 2401, 4913, 5832, 17576, 19683, 234256"
2,lag-llama,"[1, 2, 145, 40585]","[1, 2, 145, 40585]","[132, 96, 202, 220]",0,0,lag-llama,"[1, 2, 145]",[40585],[2],0,0,lag-llama,"[1, 2]","[145, 40585]","[0, 0]",0,0,lag-llama,[1],"[2, 145, 40585]","[0, 0, 0]",0,0,"1, 2, 145, 40585"
2,lag-llama,"[2, 5, 12, 20, 29, 39, 50, 62, 75]",[89],[56],0,0,lag-llama,"[2, 5, 12, 20, 29, 39, 50, 62]","[75, 89]","[56, 48]",0,0,lag-llama,"[2, 5, 12, 20, 29]","[39, 50, 62, 75, 89]","[20, 26, 21, 23, 22]",0,0,lag-llama,"[2, 5, 12]","[20, 29, 39, 50, 62, 75, 89]","[7, 5, 5, 2, 6, 6, 6]",0,0,"2, 5, 12, 20, 29, 39, 50, 62, 75, 89"
2,lag-llama,"[1, 8, 10, 18, 19, 100, 101, 108, 109]",[110],[112],0,0,lag-llama,"[1, 8, 10, 18, 19, 100, 101, 108]","[109, 110]","[104, 94]",0,0,lag-llama,"[1, 8, 10, 18, 19]","[100, 101, 108, 109, 110]","[16, 19, 11, 11, 26]",0,0,lag-llama,"[1, 8, 10]","[18, 19, 100, 101, 108, 109, 110]","[11, 7, 8, 19, 6, 8, 6]",0,9.090909091,"1, 8, 10, 18, 19, 100, 101, 108, 109, 110"
2,lag-llama,"[3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607]",[536870911],[162768],0,0,lag-llama,"[3, 7, 31, 127, 2047, 8191, 131071, 524287]","[8388607, 536870911]","[7425, 11678]",0,0,lag-llama,"[3, 7, 31, 127, 2047]","[8191, 131071, 524287, 8388607, 536870911]","[163, 115, 123, 172, 151]",0,0,lag-llama,"[3, 7, 31]","[127, 2047, 8191, 131071, 524287, 8388607, 536870911]","[13, 14, 1, 14, 14, 3, 7]",0,0,"3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607, 536870911"
2,lag-llama,"[1, 2, 4, 8, 16, 23, 28, 38, 58]",[89],[37],0,0,lag-llama,"[1, 2, 4, 8, 16, 23, 28, 38]","[58, 89]","[30, 30]",0,0,lag-llama,"[1, 2, 4, 8, 16]","[23, 28, 38, 58, 89]","[10, 4, 9, 9, 9]",0,0,lag-llama,"[1, 2, 4]","[8, 16, 23, 28, 38, 58, 89]","[3, 1, 2, 2, 2, 2, 1]",0,0,"1, 2, 4, 8, 16, 23, 28, 38, 58, 89"
2,lag-llama,"[1, 2, 4, 8, 15, 26, 42, 64, 93]",[129],[58],0,0,lag-llama,"[1, 2, 4, 8, 15, 26, 42, 64]","[93, 129]","[41, 36]",0,0,lag-llama,"[1, 2, 4, 8, 15]","[26, 42, 64, 93, 129]","[5, 9, 9, 6, 8]",0,0,lag-llama,"[1, 2, 4]","[8, 15, 26, 42, 64, 93, 129]","[2, 3, 2, 2, 2, 2, 3]",0,0,"1, 2, 4, 8, 15, 26, 42, 64, 93, 129"
2,lag-llama,"[1, 5, 12, 22, 35, 51, 70, 92, 117]",[145],[79],0,0,lag-llama,"[1, 5, 12, 22, 35, 51, 70, 92]","[117, 145]","[75, 67]",0,0,lag-llama,"[1, 5, 12, 22, 35]","[51, 70, 92, 117, 145]","[23, 27, 24, 24, 24]",0,0,lag-llama,"[1, 5, 12]","[22, 35, 51, 70, 92, 117, 145]","[3, 2, 6, 6, 4, 6, 7]",0,0,"1, 5, 12, 22, 35, 51, 70, 92, 117, 145"
2,lag-llama,"[0, 1, 1, 2, 1, 2, 2, 3, 1]",[3],[3],100,100,lag-llama,"[0, 1, 1, 2, 1, 2, 2, 3]","[1, 3]","[2, 1]",0,33.33333333,lag-llama,"[0, 1, 1, 2, 1]","[2, 2, 3, 1, 3]","[2, 3, 2, 2, 2]",20,66.66666667,lag-llama,"[0, 1, 1]","[2, 1, 2, 2, 3, 1, 3]","[1, 1, 1, 0, 1, 1, 0]",28.57142857,25,"0, 1, 1, 2, 1, 2, 2, 3, 1, 3"
2,lag-llama,"[1, 2, 5, 15, 52, 203, 877, 4140, 21147]",[115975],[2579],0,0,lag-llama,"[1, 2, 5, 15, 52, 203, 877, 4140]","[21147, 115975]","[352, 877]",0,0,lag-llama,"[1, 2, 5, 15, 52]","[203, 877, 4140, 21147, 115975]","[16, 17, 11, 14, 21]",0,0,lag-llama,"[1, 2, 5]","[15, 52, 203, 877, 4140, 21147, 115975]","[2, 3, 3, 2, 2, 2, 2]",0,0,"1, 2, 5, 15, 52, 203, 877, 4140, 21147, 115975"
2,lag-llama,"[2, 3, 5, 7, 11, 13, 17, 19, 23]",[29],[18],0,0,lag-llama,"[2, 3, 5, 7, 11, 13, 17, 19]","[23, 29]","[21, 13]",0,0,lag-llama,"[2, 3, 5, 7, 11]","[13, 17, 19, 23, 29]","[5, 7, 8, 8, 6]",0,0,lag-llama,"[2, 3, 5]","[7, 11, 13, 17, 19, 23, 29]","[2, 2, 2, 3, 2, 2, 2]",0,0,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29"
2,lag-llama,"[1, 11, 21, 1211, 111221]","[1, 11, 21, 1211, 111221]","[664, 2345, 982, 2355, 928]",0,0,lag-llama,"[1, 11, 21, 1211]",[111221],[23],0,0,lag-llama,"[1, 11, 21]","[1211, 111221]","[9, 6]",0,0,lag-llama,"[1, 11]","[21, 1211, 111221]","[0, 0, 0]",0,0,"1, 11, 21, 1211, 111221"
2,lag-llama,"[2, 3, 5, 7, 11, 13, 17, 19, 23]",[29],[17],0,0,lag-llama,"[2, 3, 5, 7, 11, 13, 17, 19]","[23, 29]","[20, 17]",0,0,lag-llama,"[2, 3, 5, 7, 11]","[13, 17, 19, 23, 29]","[7, 7, 7, 8, 6]",0,0,lag-llama,"[2, 3, 5]","[7, 11, 13, 17, 19, 23, 29]","[2, 2, 3, 2, 1, 1, 2]",0,0,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29"
2,lag-llama,"[1, 2, 4, 8, 16, 32, 64, 128, 256]",[512],[104],0,0,lag-llama,"[1, 2, 4, 8, 16, 32, 64, 128]","[256, 512]","[48, 48]",0,0,lag-llama,"[1, 2, 4, 8, 16]","[32, 64, 128, 256, 512]","[7, 8, 8, 10, 11]",0,0,lag-llama,"[1, 2, 4]","[8, 16, 32, 64, 128, 256, 512]","[1, 3, 1, 1, 4, 2, 3]",0,0,"1, 2, 4, 8, 16, 32, 64, 128, 256, 512"
2,lag-llama,"[1, 3, 7, 15, 31, 63, 127, 255, 511]",[1023],[230],0,0,lag-llama,"[1, 3, 7, 15, 31, 63, 127, 255]","[511, 1023]","[108, 45]",0,0,lag-llama,"[1, 3, 7, 15, 31]","[63, 127, 255, 511, 1023]","[16, 15, 14, 17, 13]",0,0,lag-llama,"[1, 3, 7]","[15, 31, 63, 127, 255, 511, 1023]","[3, 3, 6, 1, 7, 3, 3]",0,0,"1, 3, 7, 15, 31, 63, 127, 255, 511, 1023"
